subjects;time;condition;modulation_evoked;amplitude_evoked;RDK_electrodes
14;[250 1000]ms;nonprimed;-1.13887358367238;2.52957590421041;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
14;[1000 1750]ms;nonprimed;5.30301298636341;2.66896036523314;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
14;[250 1000]ms;not attended;-6.06224653565187;2.18059921715268;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
14;[1000 1750]ms;not attended;-11.6342112075832;2.14526830526562;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
15;[250 1000]ms;primed;15.0674893651222;2.56631098539149;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
15;[1000 1750]ms;primed;-0.187911421162976;2.21532141035775;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
15;[250 1000]ms;nonprimed;-24.8969088116872;1.89631352760538;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
15;[1000 1750]ms;nonprimed;-12.1992190752652;2.26591500179055;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
15;[250 1000]ms;not attended;-18.2743990773598;1.98343525801328;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
15;[1000 1750]ms;not attended;-8.30438630851274;2.20131282462287;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
16;[250 1000]ms;primed;15.7888963468296;5.68785620063441;'P7','P5','P9','PO3','PO7','O1','I1','POz','Oz','Iz','P8','P6','PO4','PO8','P10','O2','I2'
