time;condition;participant;SSVEP_mod
359.508503941423;primed;13;27.5013491312663
367.313374503022;primed;13;27.8418140411377
375.118245064621;primed;13;28.1634019215902
382.923115626221;primed;13;28.4667898813883
390.72798618782;primed;13;28.7527681986491
398.532856749419;primed;13;29.0228691101074
406.337727311018;primed;13;29.2796338399251
414.142597872618;primed;13;29.5259367624919
421.947468434217;primed;13;29.7642084757487
429.752338995816;primed;13;29.9955927530924
437.557209557415;primed;13;30.2199681599935
445.362080119015;primed;13;30.4366823832194
453.166950680614;primed;13;30.6451994578044
460.971821242213;primed;13;30.8452765146891
468.776691803812;primed;13;31.0363852183024
476.581562365412;primed;13;31.2168827056885
484.38643386084;primed;13;31.384547551473
492.191310970877;primed;13;31.5372180938721
499.996189029123;primed;13;31.6732489267985
507.80106613916;primed;13;31.7914644877116
515.605937634588;primed;13;31.890967686971
523.410808196188;primed;13;31.9710604349772
531.215678757787;primed;13;32.0311272939046
539.020549319386;primed;13;32.0705966949463
546.825419880985;primed;13;32.088919321696
554.630290442585;primed;13;32.085521697998
562.435161004184;primed;13;32.0598125457764
570.240031565783;primed;13;32.0111751556396
578.044902127382;primed;13;31.9390424092611
585.849772688982;primed;13;31.8427594502767
593.654643250581;primed;13;31.7217502593994
601.45951381218;primed;13;31.5754534403483
609.264384373779;primed;13;31.4033069610596
617.069254935379;primed;13;31.204860051473
624.874125496978;primed;13;30.9796454111735
632.678996058577;primed;13;30.7273031870524
640.483866620177;primed;13;30.44753074646
648.288737181776;primed;13;30.1400616963704
656.093607743375;primed;13;29.8047421773275
663.898478304974;primed;13;29.4414602915446
671.703348866573;primed;13;29.0502433776855
679.508219428173;primed;13;28.6312103271484
687.313089989772;primed;13;28.1845455169678
695.117960551371;primed;13;27.7106202443441
702.92283111297;primed;13;27.2098744710286
710.72770167457;primed;13;26.6829128265381
718.532572236169;primed;13;26.1304820378621
726.337442797768;primed;13;25.553476969401
734.142313359367;primed;13;24.95294825236
741.947183920967;primed;13;24.3301111857096
749.752054482566;primed;13;23.68634446462
757.556925044165;primed;13;23.0232003529867
765.361795605765;primed;13;22.3424154917399
773.166666167364;primed;13;21.64590771993
780.971536728963;primed;13;20.9358286857605
788.776407290562;primed;13;20.2146495183309
796.581277852162;primed;13;19.4851883252462
804.386148413761;primed;13;18.7509891192118
812.19101897536;primed;13;18.0166447957357
819.995889536959;primed;13;17.2876798311869
827.800760098558;primed;13;16.5688792864482
835.605630660158;primed;13;15.8620958328247
843.410501221757;primed;13;15.1667000452677
851.215371783356;primed;13;14.4819693565369
859.020242344956;primed;13;13.8080197970072
866.825112906555;primed;13;13.1456674734751
874.629983468154;primed;13;12.4960442384084
882.434854029753;primed;13;11.8604760964712
890.239724591353;primed;13;11.2403056621552
898.044595152952;primed;13;10.6368699073792
905.849465714551;primed;13;10.051483074824
913.65433627615;primed;13;9.48538581530253
921.459206837749;primed;13;8.93981655438741
929.264077399349;primed;13;8.41588791211446
937.068947960948;primed;13;7.9147355556488
944.873818522548;primed;13;7.43740622202555
952.678689084147;primed;13;6.98499886194865
960.483559645746;primed;13;6.55853732426961
968.288430207345;primed;13;6.15915218989054
976.093300768944;primed;13;5.78808164596558
983.898171330544;primed;13;5.44673840204875
991.703041892143;primed;13;5.13688309987386
999.507912453742;primed;13;4.86082029342651
1007.31278301534;primed;13;4.62131102879842
1015.11765357694;primed;13;4.42117643356323
1022.92252413854;primed;13;4.26210355758667
1030.72739470014;primed;13;4.14414819081624
1038.53226526174;primed;13;4.06640752156575
1046.33713582334;primed;13;4.02786731719971
1054.14200638494;primed;13;4.02766640981038
1061.94687694654;primed;13;4.06490739186605
1069.75174750814;primed;13;4.13830105463664
1077.55661806973;primed;13;4.24619515736898
1085.36148863133;primed;13;4.3866016070048
1093.16635919293;primed;13;4.55735699335734
1100.97122975453;primed;13;4.75618457794189
1108.77610031613;primed;13;4.98074309031169
1116.58097087773;primed;13;5.2286524772644
1124.38584143933;primed;13;5.49745957056681
1132.19071200093;primed;13;5.78459072113037
1139.99558256253;primed;13;6.08745622634888
1147.80045312413;primed;13;6.40340073903402
1155.60532368573;primed;13;6.7297264734904
1163.41019424733;primed;13;7.06379779179891
1171.21506480893;primed;13;7.40301577250163
1179.01993537052;primed;13;7.74486668904622
1186.82480593212;primed;13;8.08697175979614
1194.62967649372;primed;13;8.42710892359416
1202.43454705532;primed;13;8.76318041483561
1210.23941761692;primed;13;9.09328492482503
1218.04428817852;primed;13;9.4156699180603
1225.84915874012;primed;13;9.72876199086507
1233.65402930172;primed;13;10.0311594009399
1241.45889986332;primed;13;10.3216139475505
1249.26377042492;primed;13;10.599019686381
1257.06864098652;primed;13;10.8624436060588
1264.87351154812;primed;13;11.1110690434774
1272.67838210972;primed;13;11.3442128499349
1280.48325267132;primed;13;11.5613129933675
1288.28812323291;primed;13;11.7619454065959
1296.09299379451;primed;13;11.9457480112712
1303.89786435611;primed;13;12.1124925613403
1311.70273491771;primed;13;12.2620226542155
1319.50760547931;primed;13;12.3942797978719
1327.31247604091;primed;13;12.5092639923096
1335.11734660251;primed;13;12.6070779164632
1342.92221716411;primed;13;12.6878414154053
1350.72708772571;primed;13;12.7517636617025
1358.53195828731;primed;13;12.7991104125977
1366.33682884891;primed;13;12.8301814397176
1374.14169941051;primed;13;12.8453254699707
1381.94656997211;primed;13;12.8449341456095
1389.7514405337;primed;13;12.8294169108073
1397.5563110953;primed;13;12.7992108662923
1405.3611816569;primed;13;12.7548440297445
1413.1660522185;primed;13;12.6967379252116
1420.9709227801;primed;13;12.6254679361979
1428.7757933417;primed;13;12.5414886474609
1436.5806639033;primed;13;12.4453328450521
1444.3855344649;primed;13;12.3374443054199
1452.1904050265;primed;13;12.2183163960775
1459.9952755881;primed;13;12.0883188247681
1467.8001461497;primed;13;11.9478607177734
1475.6050167113;primed;13;11.7972806294759
1483.4098872729;primed;13;11.636910756429
1491.2147578345;primed;13;11.4670678774516
1499.01962839609;primed;13;11.2880942026774
1506.82449895769;primed;13;11.1003074645996
1514.62936951929;primed;13;10.9040911992391
1522.43424008089;primed;13;10.699862798055
1530.23911064249;primed;13;10.4880237579346
1538.04398120409;primed;13;10.2690313657125
1545.84885176569;primed;13;10.0433402856191
1553.65372232729;primed;13;9.81134549776713
1561.45859288889;primed;13;9.57340439160665
1569.26346345049;primed;13;9.32978828748067
1577.06833401209;primed;13;9.08068005243937
1584.87320457369;primed;13;8.82611894607544
1592.67807513529;primed;13;8.56603225072225
1600.48294569689;primed;13;8.30021079381307
1608.28781625848;primed;13;8.02833843231201
1616.09268682008;primed;13;7.75000635782878
1623.89755738168;primed;13;7.46471659342448
1631.70242794328;primed;13;7.17189915974935
1639.50729850488;primed;13;6.87096500396729
1647.31216906648;primed;13;6.56129900614421
1655.11703962808;primed;13;6.24224122365316
1662.92191018968;primed;13;5.91321595509847
1670.72678075128;primed;13;5.57363637288411
1678.53165131288;primed;13;5.22296047210693
1686.33652187448;primed;13;4.86069107055664
1694.14139243608;primed;13;4.48638407389323
1701.94626299768;primed;13;4.09950065612793
-998.538973776848;nonprimed;13;15.6691150665283
-990.734103215249;nonprimed;13;15.5341183344523
-982.929232653649;nonprimed;13;15.4136343002319
-975.12436209205;nonprimed;13;15.3054273923238
-967.319491530451;nonprimed;13;15.20711962382
-959.514620968851;nonprimed;13;15.1162263552348
-951.709750407252;nonprimed;13;15.0302686691284
-943.904879845653;nonprimed;13;14.9467789332072
-936.100009284054;nonprimed;13;14.8634594281514
-928.295138722454;nonprimed;13;14.7781964937846
-920.490268160855;nonprimed;13;14.6891433397929
-912.685397599256;nonprimed;13;14.5948451360067
-904.880527037657;nonprimed;13;14.4940851529439
-897.075656476058;nonprimed;13;14.3860060373942
-889.270785914458;nonprimed;13;14.2699120839437
-881.465915352859;nonprimed;13;14.1451363563538
-873.66104479126;nonprimed;13;14.010946114858
-865.85617422966;nonprimed;13;13.8663376172384
-858.051303668061;nonprimed;13;13.7102559407552
-850.246433106462;nonprimed;13;13.5416189829508
-842.441562544863;nonprimed;13;13.3596936861674
-834.636691983264;nonprimed;13;13.1644527117411
-826.831821421664;nonprimed;13;12.9571709632874
-819.026950860065;nonprimed;13;12.7412840525309
-811.222080298466;nonprimed;13;12.5228638648987
-803.417209736867;nonprimed;13;12.3073832988739
-795.612339175267;nonprimed;13;12.0943032900492
-787.807468613668;nonprimed;13;11.8788618246714
-780.002598052069;nonprimed;13;11.657514333725
-772.19772749047;nonprimed;13;11.4290578365326
-764.39285692887;nonprimed;13;11.1936546166738
-756.587986367271;nonprimed;13;10.9521326224009
-748.783115805672;nonprimed;13;10.7055806318919
-740.978245244072;nonprimed;13;10.4550914764404
-733.173374682473;nonprimed;13;10.2017259597778
-725.368504120874;nonprimed;13;9.94638935724894
-717.563633559275;nonprimed;13;9.68970600763957
-709.758762997675;nonprimed;13;9.43205785751343
-701.953892436076;nonprimed;13;9.17349243164062
-694.149021874477;nonprimed;13;8.91372760136922
-686.344151312878;nonprimed;13;8.65230735143026
-678.539280751278;nonprimed;13;8.38858493169149
-670.734410189679;nonprimed;13;8.12196747461955
-662.92953962808;nonprimed;13;7.85194635391235
-655.124669066481;nonprimed;13;7.57822386423747
-647.319798504881;nonprimed;13;7.30068667729696
-639.514927943282;nonprimed;13;7.01951392491658
-631.710057381683;nonprimed;13;6.73513619105021
-623.905186820084;nonprimed;13;6.44823678334554
-616.100316258484;nonprimed;13;6.15973075230916
-608.295445696885;nonprimed;13;5.87074375152588
